City Key;WWI City ID;City;State Province;Country;Continent;Sales Territory;Region;Subregion;Location;Latest Recorded Population;Valid From;Valid To;Lineage Key
0;0;Unknown;N/A;N/A;N/A;N/A;N/A;N/A;NULL;0;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999;0
1;5450;Carrollton;New York;United States;North America;Mideast;Americas;Northern America;0xE6100000010C703E1AF3DF0D4540DFFDF15EB5A953C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
2;5451;Carrollton;Virginia;United States;North America;Southeast;Americas;Northern America;0xE6100000010C88AD8F3D31794240C9891B5CDF2353C0;4574;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
3;5452;Carrollton;Illinois;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CDB0AABC2B0A64340EDD9CE520D9A56C0;2484;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
4;5453;Carrollton;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010C7072648ADEAD4340DCBA9BA7BA5F57C0;3784;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
5;5454;Carrollton;Ohio;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CEDE98FD5524944400E338F577B4554C0;3241;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
6;5455;Carrollton;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010CEC7DF49727574340265E54417B4B55C0;3938;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
7;5456;Carrollton;Georgia;United States;North America;Southeast;Americas;Northern America;0xE6100000010C5049E70D41CA404042001533E74455C0;24388;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
8;5457;Carrollton;Alabama;United States;North America;Southeast;Americas;Northern America;0xE6100000010CE1815C3D82A14040A2B030E9140656C0;1019;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
9;5458;Carrollton;Mississippi;United States;North America;Southeast;Americas;Northern America;0xE6100000010CE8082AF40BC140404E21FC30E77A56C0;190;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
10;5459;Carrollton;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CE44636FC137A4040C10EAD5FFA3858C0;119097;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
11;5460;Carrollton Manor;Maryland;United States;North America;Mideast;Americas;Northern America;0xE6100000010C751772B6CA894340CCCF0D4D592553C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
12;5461;Carrolltown;Pennsylvania;United States;North America;Mideast;Americas;Northern America;0xE6100000010C0801F9122A4D444019F4EF445AAD53C0;853;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
